book,theme_no,theme_title,topic_no,topic_id,topic_title,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15
2,2,"Environment & Science",18,b2-t18,"Medical Science","gene","vaccine","clinical","trial","diagnosis","blood donor","surgery","scan","treatment","pharmacy","side effect","dose","monitor","advance","study"
2,2,"Environment & Science",19,b2-t19,"Farming & Food Production","agriculture","harvest","chemical","organic","crop","farm animal","rich soil","drought","distribute","process","consume","waste","supply","produce","region"
2,2,"Environment & Science",20,b2-t20,"Natural Disasters","earthquake","tsunami","hurricane","flood","leave safely","rescue","damage","predict","disaster","relief","rebuild","survive","warning","prepare","emergency"
2,3,"Business & Money",21,b2-t21,"Personal Finance","budget","savings","expense","debt","invest","loan","income","afford","tax","credit","interest","save up","take out","handle","money"
2,3,"Business & Money",22,b2-t22,"Business & Entrepreneurship","profit","market","compete","strategy","brand","launch","customer","expand","target","promote","partner","risk","income","backer","new business"
2,3,"Business & Money",23,b2-t23,"Global Trade","export","import","trade","currency","exchange","global","supply","demand","negotiate","agreement","barrier","compete","regulate","trade tax","produce"
2,3,"Business & Money",24,b2-t24,"Managing Money","account","transfer","fee","rate","borrow","lend","balance","cash","bill","pay","statement","transaction","penalty","credit card","debit"
2,3,"Business & Money",25,b2-t25,"Advertising & Marketing","advertise","campaign","consumer","persuade","sponsor","promote","strategy","appeal","awareness","tagline","catch phrase","product","target","media","message"
2,3,"Business & Money",26,b2-t26,"Work & Employment Issues","dismiss","negotiate","rights","contract","adaptable","remote","benefit","dispute","union","workload","welfare","resign","complaint","condition","reasonable"
2,3,"Business & Money",27,b2-t27,"Property & Housing","property","rent","home loan","lease","landlord","tenant","afford","suburb","renovate","invest","value","demand","supply","down payment","area"
2,3,"Business & Money",28,b2-t28,"Tourism & Hospitality","tourism","destination","accommodation","hospitality","attract","sustainable","heritage","promote","capacity","too many visitors","preserve","local economy","experience","visitor","guide"
2,3,"Business & Money",29,b2-t29,"Media & Journalism","journalism","broadcast","source","bias","publish","investigate","reliable","audience","platform","digital","trustworthy","influence","report","headline","chief editor"
2,3,"Business & Money",30,b2-t30,"Shopping Habits","consumer","brand loyalty","discount","retail","ethical","recycle","wrapping","trend","quality","used","unplanned","afford","purchase","choice","refund"
2,4,"Arts Culture & Society",31,b2-t31,"Visual Arts & Design","sculpture","exhibition","gallery","show","inspire","medium","technique","non-realistic","modern art","read","design","creative","style","display","collection"
2,4,"Arts Culture & Society",32,b2-t32,"Music & Popular Culture","genre","lyrics","compose","independent","influence","release","industry","chart","tribute","perform","award","label","music stream","devoted fan","concert"
2,4,"Arts Culture & Society",33,b2-t33,"Stories & Books","storyline","plot","theme","character","perspective","fiction","genre","author","publish","sad ending","understand","reader","chapter","review","bestseller"
2,4,"Arts Culture & Society",34,b2-t34,"Film & Television","director","genre","cast","production","budget","release","audience","stream","documentary","scene","award","release widely","film critic","new version","sequel"
2,4,"Arts Culture & Society",35,b2-t35,"Languages Around the World","two languages","accent","translate","native","extinct","evolve","diverse","preserve","communicate","speak well","official","dying language","pick up","multilingual","local accent"
2,4,"Arts Culture & Society",36,b2-t36,"Challenges in Education","access","opportunity","barrier","unfair gap","achievement","resource","reform","policy","outcome","private","scholarship","leave early","standard","put money in","gap"
2,4,"Arts Culture & Society",37,b2-t37,"Sport & Competition","athlete","compete","sponsor","performance drugs","spectator","tournament","broadcast","lasting impact","participate","motivation","physical","champion","career athlete","coach","fair play"
2,4,"Arts Culture & Society",38,b2-t38,"Fashion & Identity","trend","sustainable","ethical","brand","identity","influence","consumer","recycle","luxury","express","unique","affordable","cultural","fashion style","statement"
2,4,"Arts Culture & Society",39,b2-t39,"Traditional Food & Cooking","local food","tradition","ingredient","recipe","heritage","real","preserve","local dish","influence","identity","ritual","method","flavour","cook","symbolic"
2,4,"Arts Culture & Society",40,b2-t40,"Cultural Celebrations","tradition","ritual","heritage","participate","religion","community","preserve","modern","generation","adapt","stand for","festival","celebration event","meaning","ancient"
2,5,"People & Issues",41,b2-t41,"Living Abroad","immigrant","fit in","diverse","discrimination","border","nationality","policy","culture","community","identity","challenge","adapt","foreign","experience","asylum seeker"
2,5,"People & Issues",42,b2-t42,"Helping People in Need","poverty","less fortunate","access","opportunity","welfare","without a home","support","charity","volunteer","donate","campaign","community","fund","raise","awareness"
2,5,"People & Issues",43,b2-t43,"Rights & Responsibilities","rights","freedom","responsibility","protect","campaign","justice","minority","carry out","for everyone","awareness","duty","citizen","equality","be treated","fair"
2,5,"People & Issues",44,b2-t44,"Getting Older","ageing","older people","retirement money","retire","workforce","healthcare","generation","support","care","contribute","active","policy","lonely","self-reliant","community"
2,5,"People & Issues",45,b2-t45,"Being Young Today","youth","opportunity","pressure","ambition","mental health","challenge","voice","digital","participate","identity","future","career","social media","stress","inspire"
2,5,"People & Issues",46,b2-t46,"Crime & Its Consequences","find guilty","sentence","person harmed","justice","penalty","prison","reform","evidence","legal","offence","punishment","deter","commit crime again","unpaid work","early release"
2,5,"People & Issues",47,b2-t47,"The Workplace Today","remote work","adjustable hours","output","workmate","teamwork","deadline","stress","promote","manage","feedback","performance","salary","benefit","career path","workload"
2,5,"People & Issues",48,b2-t48,"Staying Healthy","lifestyle","diet","exercise","routine","balance","sleep","habit","nutrition","prevent","active","check-up","physical","calorie","immune system","hydrate"
2,5,"People & Issues",49,b2-t49,"Protecting the Environment","recycle","reduce","reuse","carbon footprint","waste","protect","pollution","damage","action","responsible","green","environment","local","eco-friendly","energy saving"
2,5,"People & Issues",50,b2-t50,"Cities & Population Growth","population","move to cities","migrate","crowded areas","public services","afford","suburb","resource","pressure","growth","overcrowding","develop","housing","transport","expand"
2,6,"Media & Ideas",51,b2-t51,"Checking Information Online","source","check","trustworthy","bias","spread","platform","influence","trust","false news","verify facts","awareness","critical thinking","reveal","reliable","mislead"
2,6,"Media & Ideas",52,b2-t52,"Privacy & Personal Data","privacy","data","follow","watch","regulate","security","digital","right","access","protect","gather","share","data leak","personal","identity"
2,6,"Media & Ideas",53,b2-t53,"AI in Daily Life","artificial intelligence","do automatically","replace","bias","morally right","data","decision","risk","benefit","develop","regulate","technology","machine","impact","future"
2,6,"Media & Ideas",54,b2-t54,"Community Problems & Solutions","problem","solution","debate","opinion","strongly debated","argument","evidence","persuade","perspective","support","challenge","local area","suggest","deal with","change"
2,6,"Media & Ideas",55,b2-t55,"Science in Everyday Life","based on science","evidence","experiment","theory","publish","ethical","fund","practical use","progress","discover","impact","research","reliable","result","question"
2,6,"Media & Ideas",56,b2-t56,"Screen Time & Digital Habits","screen time","hard to stop","distract","useful","healthy balance","digital","manage","aware","limit","impact","social","habit","reduce","health","online"
2,6,"Media & Ideas",57,b2-t57,"Work & Technology","remote","work flexibly","machines do","workforce","change the way","platform","contract","adapt","work rate","replace","skill","digital","efficient","manage","future"
2,6,"Media & Ideas",58,b2-t58,"Making Difficult Decisions","decision","result","choice","ethical","moral","consider","impact","benefit","harm","responsible","rule of life","discuss","weigh up","right","wrong"
2,6,"Media & Ideas",59,b2-t59,"The World Getting Smaller","become global","trade","culture","influence","economy","local","identity","spread","benefit","unfairness","standard","linked","travel","communication","diverse"
2,6,"Media & Ideas",60,b2-t60,"Discussing & Giving Opinions","argument","opinion","evidence","logical","counter","judge carefully","come to a conclusion","reliable","source","perspective","reason","support","well-supported","statement","convince"
