book,theme_no,theme_title,topic_no,topic_id,topic_title,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15
1,5,"Actions & Events",42,b1-t42,"Shopping & Markets","stall","weigh","discount","queue","carry","wrap","crowded","pick","compare","quality","offer","haggle","vendor","price tag","sale"
1,5,"Actions & Events",43,b1-t43,"Sports Events & Competition","compete","champion","medal","stadium","referee","train","athlete","final","round","fans","root for","record","performance","trophy","spirit"
1,5,"Actions & Events",44,b1-t44,"A Day Trip","trip","destination","depart","itinerary","tour guide","sightseeing","souvenir","photo","get lost","explore","head back","enjoy","ticket booth","scenery","exhausted"
1,5,"Actions & Events",45,b1-t45,"Accidents & Emergencies","accident","hurt","fall","crash","fire","ambulance","police","hazard","safe","alert","escape","bleed","bite","burn","rescue"
1,5,"Actions & Events",46,b1-t46,"Getting Ready","ready","plan","schedule","organise","pack","early","remind","confirm","cancel","priority","target","deadline","checklist","complete","assess"
1,5,"Actions & Events",47,b1-t47,"Visiting Places","museum","entrance","exhibit","guide","showcase","tour","collection","level","object","tag","ancient","wing","audio","way out","floor plan"
1,5,"Actions & Events",48,b1-t48,"Celebrations & Events","event","ceremony","attend","speech","cheer","guest","arrange","programme","host","award","formal","dress up","microphone","reception","applause"
1,5,"Actions & Events",49,b1-t49,"Problems & Solutions","problem","fix","repair","break","try","succeed","replace","tool","machine","wrong","damage","caution","report","solution","urgent"
1,5,"Actions & Events",50,b1-t50,"Giving Directions","direction","left","right","straight","turn","cross","pass","corner","opposite","near","far","block","sign","distance","reach"
1,6,"Everyday Communication",51,b1-t51,"Saying Hello & Goodbye","hello","goodbye","hi","bye","nice","see","again","welcome","bow","nod","phrase","polite","stranger","response","casual"
1,6,"Everyday Communication",52,b1-t52,"Social Media & Online Life","share","comment","follow","upload","download","video","account","safe","group","update","profile","trend","notify","screen time","digital"
1,6,"Everyday Communication",53,b1-t53,"At the Post Office","parcel","stamp","post","box","heavy","light","wait","counter","seal","deliver","track","sender","recipient","urgent","fee"
1,6,"Everyday Communication",54,b1-t54,"Simple Stories & Books","character","beginning","middle","end","hero","villain","plot","setting","made-up","real","retell","moral","detail","narrator","imagine"
1,6,"Everyday Communication",55,b1-t55,"Asking for Help","please","sorry","excuse","need","want","find","show","tell","know","thank","welcome","lost","way","say again","follow"
1,6,"Everyday Communication",56,b1-t56,"Phones & Messaging","call","ring","text","busy","save","alert","silent","signal","voicemail","hang up","missed","speaker","dial","network","roaming"
1,6,"Everyday Communication",57,b1-t57,"Signs & Instructions","notice","warning","arrow","marker","instruction","escape route","risk","forbidden","caution","symbol","colour coded","emergency","obey","point","route"
1,6,"Everyday Communication",58,b1-t58,"Writing & Messages","compose","professional","informal","topic","signature","attachment","cc","reply","forward","tone","greeting","closing","spell","proofread","clear"
1,6,"Everyday Communication",59,b1-t59,"Likes & Dislikes","like","love","hate","enjoy","prefer","favourite","good","bad","boring","exciting","fun","want","think","feel","say"
1,6,"Everyday Communication",60,b1-t60,"Asking Questions","what","where","when","who","why","how","ask","answer","know","understand","mean","repeat","again","please","sure"
