book,theme_no,theme_title,topic_no,topic_id,topic_title,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,c1,c2,c3,c4,c5
3,2,"Health & the Human Body",20,b3-t20,"Environmental Health & Climate","emission","carbon footprint","biodiversity","ecosystem","deforestation","tipping point","mitigation","adaptation","sustainability","custodianship","reduce carbon emissions","protect biodiversity","reach a climate tipping point","implement mitigation strategies","promote environmental stewardship"
3,3,"The Modern World",21,b3-t21,"Technology & Everyday Life","disruption","obsolescence","adoption","convergence","dependency","efficiency","automation","interface","digital divide","privacy","bridge the digital divide","disrupt traditional industries","accelerate technology adoption","raise privacy concerns","create technological dependency"
3,3,"The Modern World",22,b3-t22,"Artificial Intelligence & Society","algorithm","bias","autonomous","surveillance","explainability","accountability","neural network","regulation","oversight","sentience","raise ethical concerns about AI","introduce regulatory frameworks","embed algorithmic bias","develop autonomous systems","hold AI developers accountable"
3,3,"The Modern World",23,b3-t23,"Media, Journalism & Trust","trustworthiness","agenda setting","disinformation","polarisation","censorship","amplification","echo chamber","propaganda","editorial","distortion","undermine media credibility","reinforce ideological polarisation","amplify misinformation","shape public narrative","combat information manipulation"
3,3,"The Modern World",24,b3-t24,"Globalisation & Cultural Identity","homogenisation","cosmopolitan","acculturation","diaspora","localisation","imperialism","interconnectedness","commodification","absorption","hybrid","resist cultural homogenisation","navigate competing cultural loyalties","embrace a cosmopolitan identity","commodify cultural practices","challenge cultural imperialism"
3,3,"The Modern World",25,b3-t25,"Crime, Law & Justice","judiciary","precedent","culpable","deterrence","rehabilitation","recidivism","prosecution","verdict","statute","restorative justice","uphold the rule of law","reduce recidivism rates","apply restorative justice","assign moral culpability","challenge punitive sentencing"
3,3,"The Modern World",26,b3-t26,"Democracy & Civic Life","accountability","legislation","mandate","civil society","referendum","electoral","lobbying","populism","fragmentation","misinformation","hold government accountable","engage in civic life","challenge political polarisation","safeguard democratic values","combat electoral disinformation"
3,3,"The Modern World",27,b3-t27,"Poverty & Social Welfare","deprivation","stratification","redistribution","philanthropy","systemic","marginalisation","entitlement","cycle","disenfranchise","inequality","tackle systemic inequality","redistribute economic resources","break the cycle of poverty","challenge structural privilege","empower marginalised communities"
3,3,"The Modern World",28,b3-t28,"Understanding the Economy","inflation","recession","fiscal","monetary","deficit","subsidy","austerity","commodity","deregulation","equilibrium","stimulate economic growth","implement austerity measures","run a budget deficit","control inflationary pressure","liberalise financial markets"
3,3,"The Modern World",29,b3-t29,"Migration & Belonging","asylum","persecution","xenophobia","stateless","integration","sanctuary","remittance","deportation","assimilation","displacement","seek asylum from persecution","grant refugee status","foster social integration","combat xenophobia","preserve cultural identity abroad"
3,3,"The Modern World",30,b3-t30,"Leadership & Influence","vision","probity","charisma","empowerment","governance","legacy","authority","inspiration","mobilisation","answerability","exercise moral leadership","inspire collective action","hold leaders accountable","leave a lasting legacy","build trust through integrity"
3,4,"Knowledge & Ideas",31,b3-t31,"Critical Thinking & Logic","premise","inference","fallacy","deductive","inductive","refutation","cogent","conjecture","assumption","corroborate","identify logical fallacies","construct a cogent argument","draw valid inferences","challenge unsubstantiated claims","evaluate the strength of evidence"
3,4,"Knowledge & Ideas",32,b3-t32,"Research Methods & Academic Inquiry","methodology","validity","reliability","qualitative","quantitative","triangulation","sample","confounding","scope","peer review","formulate a research question","conduct a literature review","evaluate source credibility","acknowledge methodological limitations","synthesise conflicting evidence"
3,4,"Knowledge & Ideas",33,b3-t33,"Academic Writing & Argumentation","thesis","coherence","cohesion","qualification","integration","position","referencing","precision","formality","substantiate","construct a clear thesis","maintain argumentative coherence","hedge academic claims","synthesise multiple sources","substantiate claims with evidence"
3,4,"Knowledge & Ideas",34,b3-t34,"Memory, Learning & the Brain","consolidation","retrieval","encoding","metacognition","interference","neuroplasticity","elaboration","mnemonics","schema","retention","enhance long-term retention","activate prior knowledge","overcome retrieval interference","employ metacognitive strategies","consolidate learning through practice"
3,4,"Knowledge & Ideas",35,b3-t35,"Cognitive Psychology","cognition","perception","attribution","conformity","heuristic","self-efficacy","unconscious","intrinsic motivation","mental model","reinforcement","challenge cognitive biases","build intrinsic motivation","shape behaviour through reinforcement","develop metacognitive awareness","exhibit conformity under pressure"
3,4,"Knowledge & Ideas",36,b3-t36,"Social Psychology","socialisation","groupthink","obedience","prejudice","empathy","bystander effect","persuasion","norm","ingroup","deindividuation","resist social conformity","challenge deeply held prejudices","exploit the bystander effect","reinforce group norms","foster empathy across social divides"
3,4,"Knowledge & Ideas",37,b3-t37,"Creativity & Innovation","ideation","divergent thinking","incubation","synthesis","originality","constraint","prototype","iteration","aesthetic","inspiration","stimulate creative thinking","overcome cognitive blocks","embrace productive constraints","synthesise disparate ideas","foster a culture of innovation"
3,4,"Knowledge & Ideas",38,b3-t38,"Art, Meaning & Society","avant-garde","subversive","juxtaposition","leitmotif","sublimation","semiotics","postmodern","patronage","transcend","provocation","challenge aesthetic conventions","evoke an emotional response","subvert traditional artistic forms","draw on cultural symbolism","transcend artistic boundaries"
3,4,"Knowledge & Ideas",39,b3-t39,"Philosophy of Science","empirical","paradigm shift","hypothesis","replication","causation","inference","methodology","falsifiability","variables","longitudinal","conduct empirical research","trigger a paradigm shift","establish causal relationships","replicate experimental findings","test the falsifiability of a claim"
3,4,"Knowledge & Ideas",40,b3-t40,"Knowledge, Truth & Belief","epistemology","empiricism","rationalism","scepticism","objectivity","subjectivity","axiom","verifiable","postulate","relativism","question the nature of knowledge","distinguish fact from opinion","challenge subjective interpretations","adopt an empirical approach","resist moral relativism"
3,5,"Language & Communication",41,b3-t41,"How Language Works","morphology","syntax","semantics","pragmatics","register","lexical","phonology","connotation","dialect","code-switching","analyse grammatical structure","study the semantics of language","shift between registers","trace the etymology of words","examine phonological variation"
3,5,"Language & Communication",42,b3-t42,"Language Change & Variation","neologism","dialectal","standardisation","vernacular","creole","archaism","revitalisation","evolution","contact language","extinct","coin a new expression","preserve an endangered dialect","undergo linguistic change","reflect cultural identity through language","resist language standardisation"
3,5,"Language & Communication",43,b3-t43,"Cross-cultural Communication","mediation","pragmatic transfer","adaptation","misunderstanding","etiquette","equivalence","convention","generalisation","misinterpretation","connotative","navigate cultural differences in communication","bridge intercultural misunderstandings","adapt tone across cultural contexts","manage pragmatic transfer errors","challenge cultural stereotypes"
3,5,"Language & Communication",44,b3-t44,"Persuasion & Influence","rhetoric","framing","loaded language","euphemism","appeal","manipulation","spin","credibility","stance","endorsement","deploy rhetorical devices effectively","use loaded language strategically","frame an issue persuasively","exploit psychological vulnerabilities","build speaker credibility"
3,5,"Language & Communication",45,b3-t45,"Media Literacy & Critical Reading","undertone","implication","deconstruct","consistency","verifiability","source","verify","deduction","presupposition","slant","deconstruct underlying assumptions","identify implicit bias","evaluate source reliability","challenge media representations","read between the lines"
3,5,"Language & Communication",46,b3-t46,"The Language of Power","hegemony","discourse","ideology","implicit bias","narrative control","lexical choice","positioning","intertextuality","subtext","euphemism","use language to exercise power","embed ideological assumptions","challenge dominant discourses","exploit linguistic ambiguity","construct social reality through language"
3,5,"Language & Communication",47,b3-t47,"Academic Writing: Structure & Style","thesis statement","hedging","nominalisation","formality","transition","cohesion","coherence","citation","register","concision","develop a clear line of argument","maintain formal academic register","use hedging language appropriately","integrate sources effectively","organise ideas with coherence"
3,5,"Language & Communication",48,b3-t48,"Academic Writing: Critical Analysis","critique","deconstruct","problematise","nuance","counterargument","implication","evaluate","substantiate","qualify","limitation","challenge the premises of an argument","anticipate counterarguments","problematise accepted views","qualify sweeping generalisations","acknowledge the limitations of an argument"
3,5,"Language & Communication",49,b3-t49,"Storytelling & Narrative","narrative","unreliable narrator","motif","perspective","catharsis","symbolism","voice","plot","subtext","archetype","construct a compelling narrative","challenge the reader's perspective","employ narrative techniques","draw on universal archetypes","exploit the power of subtext"
3,5,"Language & Communication",50,b3-t50,"Language & the Brain","acquisition","bilingualism","neurolinguistics","lateralisation","critical period","fluency","competence","comprehension","interference","processing","acquire a second language naturally","exploit the critical period for language learning","develop communicative competence","overcome first-language interference","study neural language processing"
3,6,"Ethics & the Future",51,b3-t51,"Applied Ethics","consequentialism","deontology","virtue ethics","moral dilemma","culpability","integrity","proportionality","justification","coercion","complicity","weigh competing moral obligations","uphold moral integrity","apply consequentialist principles","navigate moral ambiguity with integrity","resist moral coercion"
3,6,"Ethics & the Future",52,b3-t52,"Bioethics & Medical Decisions","informed consent","patient autonomy","euthanasia","cloning","allocation","experimentation","malpractice","sanctity","negligence","dilemma","respect patient autonomy","obtain informed consent","regulate gene therapy","balance patient rights with clinical obligations","examine bioethical implications"
3,6,"Ethics & the Future",53,b3-t53,"Technology Ethics & Digital Rights","digital rights","surveillance capitalism","consent","transparency","accountability","liability","algorithmic justice","data sovereignty","whistleblowing","autonomy","protect digital rights","challenge corporate surveillance","ensure algorithmic transparency","enforce data sovereignty","hold tech companies accountable"
3,6,"Ethics & the Future",54,b3-t54,"Environmental Ethics","anthropocentrism","intrinsic value","stewardship","intergenerational equity","speciesism","biocentric","precautionary principle","commons","sustainability","obligation","uphold intergenerational responsibility","challenge anthropocentric values","apply the precautionary principle","protect the global commons","recognise the intrinsic value of nature"
3,6,"Ethics & the Future",55,b3-t55,"The Future of Work","automation","marginalisation","reskilling","precariat","universal basic income","gig economy","deskilling","telework","platform","adaptability","navigate the gig economy","advocate for universal basic income","address technological displacement","reskill the workforce","challenge exploitative platform capitalism"
3,6,"Ethics & the Future",56,b3-t56,"Democracy, Power & Justice","self-governance","legitimacy","social contract","civil disobedience","oppression","dissent","disenfranchise","solidarity","redress","mandate","uphold the social contract","challenge the legitimacy of authority","exercise the right to civil disobedience","mobilise grassroots support","demand political accountability"
3,6,"Ethics & the Future",57,b3-t57,"Global Challenges & Collective Action","multilateral","geopolitics","sanction","diplomacy","humanitarian","coalition","dissuasion","negotiation","sovereignty","intervention","broker a peace agreement","impose economic sanctions","provide humanitarian aid","build multilateral coalitions","negotiate diplomatic solutions"
3,6,"Ethics & the Future",58,b3-t58,"Identity, Culture & Belonging","intersectionality","authenticity","performativity","marginalised","embodiment","internalise","subjectivity","belonging","fluidity","construct","construct a personal narrative","navigate intersecting identities","challenge normative expectations","internalise social pressures","assert cultural authenticity"
3,6,"Ethics & the Future",59,b3-t59,"Consciousness, Mind & Morality","consciousness","determinism","free will","phenomenology","agency","intentionality","volition","emergent","rational","qualia","reconcile free will with determinism","challenge reductionist accounts of mind","assert human agency","probe the limits of human perception","bridge the mind-body divide"
3,6,"Ethics & the Future",60,b3-t60,"The Future of Humanity","trajectory","existential","stewardship","civilisation","resilience","foresight","transcendence","legacy","collective agency","flourishing","shape the trajectory of civilisation","exercise long-term foresight","preserve humanity's collective legacy","navigate an uncertain future","realise human flourishing"
